"","H","C","D"
"332",0.999951783086464,4.75610313308976e-05,"3"
"333",0.999989901563398,9.95990320759346e-06,"3"
"334",0.999981514263109,1.82685585462628e-05,"3"
"335",0.999983866105012,1.59227673663312e-05,"3"
"336",0.999972408924109,2.72273625653635e-05,"3"
"337",0.999985633703565,1.41781595374757e-05,"3"
"338",0.999985493758474,1.43317528762148e-05,"3"
"339",0.999973286508883,2.63613022456204e-05,"3"
"340",0.999983279373658,1.65130060776142e-05,"3"
"341",0.999984777850825,1.50305537187053e-05,"3"
"342",0.999987760632457,1.209130343368e-05,"3"
"343",0.999993763898809,6.14826743515316e-06,"3"
"344",0.999975704210467,2.39769680154837e-05,"3"
"345",0.999991490014849,8.39779438291527e-06,"3"
"346",0.999997888523646,2.08384264104865e-06,"3"
"347",0.999997864550153,2.10677069440862e-06,"3"
"348",0.999997540362725,2.42735738331413e-06,"3"
"349",0.999991640040158,8.24909336649361e-06,"3"
"350",0.999995325538463,4.61195961560525e-06,"3"
"351",0.999991899010703,7.99133541758547e-06,"3"
"352",0.999986864464098,1.29558032683112e-05,"3"
"353",0.999999493563477,4.9981091652584e-07,"3"
"354",0.999936311194814,6.28773398532106e-05,"3"
"355",0.999978163708073,2.15419882397219e-05,"3"
"356",0.999993943504823,5.97493475127621e-06,"3"
"357",0.99999732582217,2.63785646347124e-06,"3"
"358",0.999993615575564,6.3043660811045e-06,"3"
"359",0.999942235496836,5.69693488416135e-05,"3"
"360",0.999981383543132,1.83648367647866e-05,"3"
"361",0.999972201267918,2.74336272472426e-05,"3"
"362",0.999995336832688,4.60052745068124e-06,"3"
"363",0.999969778673701,2.98346332415093e-05,"3"
"364",0.999971247496844,2.83484383119014e-05,"3"
"365",0.999986694271116,1.3149603213403e-05,"3"
"366",0.999979739285206,1.99969392979915e-05,"3"
"367",0.999972029108666,2.76059054634368e-05,"3"
"368",0.999963989714464,3.55314073848284e-05,"3"
"369",0.999976664079303,2.3045286842294e-05,"3"
"370",0.999957316854903,4.20202385331436e-05,"3"
"371",0.99996137841381,3.81575541825265e-05,"3"
"372",0.999978378127988,2.13568190514056e-05,"3"
"373",0.999978571624424,2.1147026374753e-05,"3"
"374",0.999983827097149,1.5965303839747e-05,"3"
"375",0.999985907366957,1.39131599039423e-05,"3"
"376",0.999979338972382,2.03859341900277e-05,"3"
"377",0.999982907744203,1.68542645618109e-05,"3"
"378",0.99999658033601,3.37518882283603e-06,"3"
"379",0.999984703546524,1.51015493979684e-05,"3"
"380",0.999984439070338,1.53615251947141e-05,"3"
"381",0.999993073393898,6.82800847288251e-06,"3"
"382",0.999966621736331,3.29461563199845e-05,"3"
"383",0.999972603394595,2.70864510821631e-05,"3"
"384",0.999992723751153,7.18031375477033e-06,"3"
"385",0.999972121778164,2.75236483455648e-05,"3"
"386",0.999962905930098,3.65997306429666e-05,"3"
"387",0.999995622576822,4.31833960538047e-06,"3"
"388",0.999969272076919,3.03538155673356e-05,"3"
"389",0.999930032418217,6.91305103818265e-05,"3"
"390",0.999995217963827,4.71369739753273e-06,"3"
"391",0.999976330560883,2.33578247527659e-05,"3"
"392",0.999987383876312,1.24572840941665e-05,"3"
"393",0.999996311227246,3.64002194813259e-06,"3"
"394",0.999986210694245,1.35957018033311e-05,"3"
"395",0.999984296527484,1.54964795898581e-05,"3"
"396",0.999862275270743,0.000135855802269411,"3"
"397",0.999994253024829,5.67209404251102e-06,"3"
"398",0.999996522825759,3.43255748828105e-06,"3"
"399",0.999978043677869,2.16594797736986e-05,"3"
"400",0.999982228824394,1.75287217419704e-05,"3"
"401",0.999952472683821,4.69732876421768e-05,"3"
"402",0.999984343872575,1.54317419512561e-05,"3"
"403",0.999994472800711,5.45384856145368e-06,"3"
"404",0.999986126457927,1.3684028611235e-05,"3"
"405",0.999979290665982,2.04336555947303e-05,"3"
"406",0.99996263690414,3.68649055110467e-05,"3"
"407",0.99997239993608,2.72255274737821e-05,"3"
"408",0.999965567180886,3.40453870179463e-05,"3"
"409",0.999986421706069,1.33996602348763e-05,"3"
"410",0.999979942691871,1.97917352490961e-05,"3"
"411",0.999972271179658,2.73717961357455e-05,"3"
"412",0.99998317724911,1.66013552326634e-05,"3"
"413",0.999993719950655,6.20605691515287e-06,"3"
"414",0.9999659472031,3.35528551751168e-05,"3"
"415",0.999948037521112,5.13558058380737e-05,"3"
"416",0.999981778817969,1.79786856266272e-05,"3"
"417",0.999973105828312,2.65773076304674e-05,"3"
"418",0.999991265776937,8.62065748293026e-06,"3"
"419",0.999969118505445,3.0499021056661e-05,"3"
"420",0.999965347612817,3.41343974306777e-05,"3"
"421",0.999975637582879,2.40664144989755e-05,"3"
"422",0.999985782849771,1.40293915694667e-05,"3"
"423",0.999988531931767,1.13137661032614e-05,"3"
"424",0.999978529818385,2.11791695637342e-05,"3"
