"","H","C","Tau","D"
"1147",0.999770797180058,0.000409631129475763,50,5
"1148",0.999779302050629,0.000395125928101718,50,5
"1149",0.999770945412807,0.000409450362509965,50,5
"1150",0.999746929038267,0.000452802295571835,50,5
"1151",0.999769085378871,0.000413161079163025,50,5
"1152",0.999757171694589,0.000434430665816269,50,5
"1153",0.999789860196963,0.000376491359616611,50,5
"1154",0.99983570948325,0.000294440031660279,50,5
"1155",0.999790744068021,0.000375559437955198,50,5
"1156",0.999758084680602,0.000432948785416469,50,5
"1157",0.999731501220739,0.000481218496422666,50,5
"1158",0.999764400606986,0.000421969680944022,50,5
"1159",0.999805263138605,0.000348402492315551,50,5
"1160",0.999788767697751,0.000378361072501904,50,5
"1161",0.999725904511683,0.000491795439453297,50,5
"1162",0.999725614823637,0.000491371875243682,50,5
"1163",0.999740529524719,0.000463406591502225,50,5
"1164",0.999723591830329,0.000494367050693192,50,5
"1165",0.999712048440681,0.000515407900240599,50,5
"1166",0.9997637753194,0.000421037836971187,50,5
"1167",0.999693943133757,0.000549448284532008,50,5
"1168",0.999771282624137,0.000409773667909866,50,5
"1169",0.999772281625956,0.000407879567769992,50,5
"1170",0.999801019819329,0.000357497521122197,50,5
"1171",0.999768777922518,0.000413459748356631,50,5
"1172",0.999797506161856,0.000362828874856951,50,5
"1173",0.999776975440529,0.000400078045696523,50,5
"1174",0.999734979071477,0.000474610593290127,50,5
"1175",0.999739127354435,0.000464295592550646,50,5
"1176",0.999762682660393,0.000425294193934838,50,5
"1177",0.999743096788882,0.000459233037988651,50,5
"1178",0.999795349088981,0.000366144613631238,50,5
"1179",0.99975283118102,0.000443999167860591,50,5
"1180",0.999755470452091,0.000437507340950333,50,5
"1181",0.999726971405286,0.000488237669576474,50,5
"1182",0.999768060554193,0.000414520901965877,50,5
"1183",0.999766549775455,0.000418734174085596,50,5
"1184",0.999724720684726,0.000492128234603885,50,5
"1185",0.999758596251663,0.000431775472207273,50,5
"1186",0.999786722904859,0.000381127844235815,50,5
"1187",0.999770267519236,0.000410952703080934,50,5
"1188",0.999819374784716,0.000323362661925284,50,5
"1189",0.999722545205852,0.000497260866986551,50,5
"1190",0.999788047151199,0.000379353254674209,50,5
"1191",0.999731054863005,0.000480826650605887,50,5
"1192",0.999776207149252,0.000398282098250989,50,5
"1193",0.999705880664934,0.000524880757091289,50,5
"1194",0.999764311858349,0.000421664940957442,50,5
"1195",0.999731947133242,0.000479919633991753,50,5
"1196",0.999819083132178,0.000323024979922737,50,5
"1197",0.999779958770938,0.000393873920101696,50,5
"1198",0.999808158412829,0.000343827524960404,50,5
"1199",0.999639811344665,0.000644029095220148,50,5
"1200",0.999787382003598,0.000381174924650851,50,5
"1201",0.998880234627506,0.00268140558800591,1,6
"1202",0.998852036438259,0.00275076560776718,1,6
"1203",0.998915631650446,0.00260211558502313,1,6
"1204",0.998900055617076,0.00263661017860299,1,6
"1205",0.998873742125943,0.00269001527000134,1,6
"1206",0.99881587006375,0.00283414902156945,1,6
"1207",0.998878578272936,0.00269956712335081,1,6
"1208",0.998862474598883,0.00272693211758868,1,6
"1209",0.99894114367743,0.00253394332856292,1,6
"1210",0.998855766421969,0.0027442307169572,1,6
